org_name,time,category,org_rating
Araban,2026-02-28 14:57:28,"Nature, parks and outdoor places",
Topalkara Mimarlık & Restorasyon,2026-02-28 09:16:35,"Construction, renovation and interior",
Şirinevler Mah.,2026-02-24 15:17:57,Government and municipal services,
Aden Garden Lounge,2026-02-28 21:47:27,Food and beverages,4.3
İstanbul Sabiha Gökçen Uluslararası Havalimanı,2026-03-05 19:48:31,"Nature, parks and outdoor places",4.1
Aşağısoku Mah.,2026-03-06 22:39:22,Government and municipal services,
,2026-02-15 21:43:16,Other and unspecified,
"2259. Sok., No:14",2026-03-02 22:50:58,"Landmarks, addresses and geography",
,2026-02-28 17:27:03,Other and unspecified,
Dünya Yaşamkent Sitesi,2026-03-04 05:57:44,Government and municipal services,
Coffee Shop BlueBird Coffees,2026-03-05 17:05:19,Food and beverages,0.0
Bolu Mutlu Turizm,2026-02-16 04:04:24,"Tourism, lodging and travel",4.5
Abant Gölü,2026-02-13 23:54:55,"Utilities, security and maintenance services",
Belde Sok.,2026-02-20 22:58:33,"Landmarks, addresses and geography",
Starium Life Club,2026-02-17 14:06:32,Sports and active recreation,4.3
Üstün Pide Salonu,2026-03-10 04:00:46,Food and beverages,5.0
Fatih Cami,2026-03-02 02:55:34,Religion and community organizations,4.9
Çarşı Polis Merkezi Amirliği,2026-02-26 11:06:46,"Landmarks, addresses and geography",
Adil Optik,2026-03-04 14:43:47,"IT, telecommunications and electronics",
Joint Stock Company Russian Railways,2026-03-17 13:15:34,Transportation and logistics,
Patoğlu Petrol Limited Şti,2026-03-03 15:39:56,"Automotive, motorcycles and vehicles",
Taşhan Cafe Restorant,2026-03-13 12:21:50,Food and beverages,3.8
Emeklidede Tepesi,2026-03-16 09:06:06,"Nature, parks and outdoor places",
Beykent Beytepe,2026-03-04 05:58:01,Government and municipal services,
Yedigöller Milli Parkı,2026-03-12 20:12:31,"Nature, parks and outdoor places",4.7
Esas 14 Burda Alışveriş Merkezi,2026-03-04 19:30:30,Retail and trade,4.2
Tarihi Sultan Hamamı,2026-02-20 09:35:13,"Beauty, personal care and wellness",4.3
